stock_code,trade_time,trade_date,open,close,high,low,volume,amount,change_pct,change,turnover_ratio,pre_close
000001,2010-01-04 00:00:00,2010-01-04,6.12,5.82,6.14,5.81,24192300,580249472.0,-3.96,-0.24,0.83,6.06
000001,2010-01-05 00:00:00,2010-01-05,5.84,5.67,5.89,5.47,55650000,1293476992.0,-2.58,-0.15,1.9,5.82
000001,2010-01-06 00:00:00,2010-01-06,5.66,5.53,5.66,5.46,41214300,944453696.0,-2.47,-0.14,1.41,5.67
000001,2010-01-07 00:00:00,2010-01-07,5.53,5.44,5.58,5.35,35533700,804166336.0,-1.63,-0.09,1.22,5.53
000001,2010-01-08 00:00:00,2010-01-08,5.38,5.42,5.47,5.33,28854300,650667392.0,-0.37,-0.02,0.99,5.44
000001,2010-01-11 00:00:00,2010-01-11,5.75,5.42,5.81,5.3,44284600,1009985536.0,0.0,0.0,1.51,5.42
000001,2010-01-12 00:00:00,2010-01-12,5.41,5.37,5.44,5.13,59179600,1310068992.0,-0.92,-0.05,2.02,5.42
000001,2010-01-13 00:00:00,2010-01-13,5.16,4.83,5.17,4.77,93503900,1990492672.0,-10.06,-0.54,3.2,5.37
000001,2010-01-14 00:00:00,2010-01-14,4.84,4.83,4.9,4.7,52119500,1089329408.0,0.0,0.0,1.78,4.83
000001,2010-01-15 00:00:00,2010-01-15,4.85,5.0,5.08,4.72,53950800,1146375296.0,3.52,0.17,1.85,4.83
000001,2010-01-18 00:00:00,2010-01-18,5.0,5.01,5.12,4.92,34912700,749941248.0,0.2,0.01,1.19,5.0
000001,2010-01-19 00:00:00,2010-01-19,5.05,5.29,5.33,5.04,65071500,1438886656.0,5.59,0.28,2.23,5.01
000001,2010-01-20 00:00:00,2010-01-20,5.28,4.98,5.42,4.95,49083600,1079325952.0,-5.86,-0.31,1.68,5.29
000001,2010-01-21 00:00:00,2010-01-21,5.05,5.45,5.49,4.98,63230100,1405279488.0,9.44,0.47,2.16,4.98
000001,2010-01-22 00:00:00,2010-01-22,5.36,5.59,5.73,5.16,88253900,2002921984.0,2.57,0.14,3.02,5.45
