stock_code,trade_time,trade_date,open,close,high,low,volume,amount,change_pct,change,turnover_ratio,pre_close
000001,2023-01-03 00:00:00,2023-01-03,11.95,12.52,12.6,11.8,219412800,2971546989.04,5.12,0.61,1.13,11.91
000001,2023-01-04 00:00:00,2023-01-04,12.46,13.07,13.17,12.38,218968300,3110729449.03,4.39,0.55,1.13,12.52
000001,2023-01-05 00:00:00,2023-01-05,13.15,13.23,13.49,13.12,166542500,2417272355.99,1.22,0.16,0.86,13.07
000001,2023-01-06 00:00:00,2023-01-06,13.25,13.37,13.47,13.23,119574500,1747915169.26,1.06,0.14,0.62,13.23
000001,2023-01-09 00:00:00,2023-01-09,13.5,13.55,13.63,13.27,105765900,1561368487.3,1.35,0.18,0.55,13.37
000001,2023-01-10 00:00:00,2023-01-10,13.51,13.19,13.64,13.14,126942300,1851093716.76,-2.66,-0.36,0.65,13.55
000001,2023-01-11 00:00:00,2023-01-11,13.2,13.42,13.53,13.14,83056600,1217450811.64,1.74,0.23,0.43,13.19
000001,2023-01-12 00:00:00,2023-01-12,13.52,13.42,13.52,13.28,62569500,914367699.65,0.0,0.0,0.32,13.42
000001,2023-01-13 00:00:00,2023-01-13,13.42,13.7,13.7,13.3,94908600,1407181074.29,2.09,0.28,0.49,13.42
000001,2023-01-16 00:00:00,2023-01-16,13.7,13.83,14.03,13.6,156004000,2356399992.83,0.95,0.13,0.8,13.7
000001,2023-01-17 00:00:00,2023-01-17,13.88,13.72,13.93,13.52,93583500,1396151514.52,-0.8,-0.11,0.48,13.83
000001,2023-01-18 00:00:00,2023-01-18,13.7,13.86,13.93,13.66,71843400,1083362997.53,1.02,0.14,0.37,13.72
000001,2023-01-19 00:00:00,2023-01-19,13.88,13.84,14.0,13.62,64187500,963744633.47,-0.14,-0.02,0.33,13.86
000001,2023-01-20 00:00:00,2023-01-20,13.91,13.88,13.99,13.75,60859000,920144805.73,0.29,0.04,0.31,13.84
000001,2023-01-30 00:00:00,2023-01-30,14.35,13.9,14.49,13.64,137431800,2096867649.37,0.14,0.02,0.71,13.88
000001,2023-01-31 00:00:00,2023-01-31,13.99,13.74,14.26,13.71,103049800,1568639326.21,-1.15,-0.16,0.53,13.9
000001,2023-02-01 00:00:00,2023-02-01,13.78,13.45,13.83,13.26,165342100,2426471972.52,-2.11,-0.29,0.85,13.74
000001,2023-02-02 00:00:00,2023-02-02,13.49,13.35,13.53,13.02,157790000,2280744883.13,-0.74,-0.1,0.81,13.45
000001,2023-02-03 00:00:00,2023-02-03,13.2,13.07,13.3,12.91,124638300,1782105890.79,-2.1,-0.28,0.64,13.35
000001,2023-02-06 00:00:00,2023-02-06,12.85,12.75,12.88,12.61,131761000,1838428709.03,-2.45,-0.32,0.68,13.07
000001,2023-02-07 00:00:00,2023-02-07,12.81,12.96,13.07,12.78,86946000,1235297762.54,1.65,0.21,0.45,12.75
000001,2023-02-08 00:00:00,2023-02-08,12.99,12.79,13.07,12.78,65789300,928708933.85,-1.31,-0.17,0.34,12.96
000001,2023-02-09 00:00:00,2023-02-09,12.76,12.88,13.05,12.71,83035000,1174361963.28,0.7,0.09,0.43,12.79
000001,2023-02-10 00:00:00,2023-02-10,12.85,12.73,12.87,12.61,84728400,1184283386.2,-1.16,-0.15,0.44,12.88
000001,2023-02-13 00:00:00,2023-02-13,12.69,12.57,12.69,12.35,180005400,2473405202.92,-1.26,-0.16,0.93,12.73
000001,2023-02-14 00:00:00,2023-02-14,12.6,12.71,12.73,12.55,90993700,1263892077.72,1.11,0.14,0.47,12.57
000001,2023-02-15 00:00:00,2023-02-15,12.7,12.42,12.71,12.37,125024400,1713566672.72,-2.28,-0.29,0.64,12.71
000001,2023-02-16 00:00:00,2023-02-16,12.43,12.35,12.66,12.25,127912300,1757431083.85,-0.56,-0.07,0.66,12.42
000001,2023-02-17 00:00:00,2023-02-17,12.38,12.18,12.47,12.18,91836400,1246777397.11,-1.38,-0.17,0.47,12.35
000001,2023-02-20 00:00:00,2023-02-20,12.25,12.9,12.9,12.24,211619100,2945969773.39,5.91,0.72,1.09,12.18
000001,2023-02-21 00:00:00,2023-02-21,12.81,12.85,12.95,12.67,99049500,1393153377.3,-0.39,-0.05,0.51,12.9
000001,2023-02-22 00:00:00,2023-02-22,12.75,12.77,12.87,12.69,63892200,895742534.31,-0.62,-0.08,0.33,12.85
000001,2023-02-23 00:00:00,2023-02-23,12.75,12.8,13.07,12.73,82449100,1165539851.19,0.23,0.03,0.42,12.77
000001,2023-02-24 00:00:00,2023-02-24,12.77,12.61,12.78,12.55,72998900,1012652971.88,-1.48,-0.19,0.38,12.8
000001,2023-02-27 00:00:00,2023-02-27,12.5,12.44,12.63,12.43,62146200,854854040.54,-1.35,-0.17,0.32,12.61
000001,2023-02-28 00:00:00,2023-02-28,12.5,12.53,12.6,12.36,60793600,833316018.45,0.72,0.09,0.31,12.44
000001,2023-03-01 00:00:00,2023-03-01,12.55,12.92,12.94,12.49,122345200,1719710647.06,3.11,0.39,0.63,12.53
000001,2023-03-02 00:00:00,2023-03-02,12.88,12.99,13.19,12.81,101587700,1447565979.98,0.54,0.07,0.52,12.92
000001,2023-03-03 00:00:00,2023-03-03,13.1,13.04,13.12,12.89,69095400,985552120.63,0.38,0.05,0.36,12.99
000001,2023-03-06 00:00:00,2023-03-06,13.05,12.6,13.05,12.47,145582400,2023954547.2,-3.37,-0.44,0.75,13.04
000001,2023-03-07 00:00:00,2023-03-07,12.6,12.44,12.85,12.4,127926600,1773654737.03,-1.27,-0.16,0.66,12.6
000001,2023-03-08 00:00:00,2023-03-08,12.38,12.28,12.39,12.15,109689800,1479838980.07,-1.29,-0.16,0.57,12.44
000001,2023-03-09 00:00:00,2023-03-09,12.29,11.95,12.33,11.88,173606500,2305765842.21,-2.69,-0.33,0.89,12.28
000001,2023-03-10 00:00:00,2023-03-10,11.75,11.89,12.02,11.75,85699600,1128558359.5,-0.5,-0.06,0.44,11.95
000001,2023-03-13 00:00:00,2023-03-13,11.87,11.8,12.04,11.75,100063500,1309490079.38,-0.76,-0.09,0.52,11.89
000001,2023-03-14 00:00:00,2023-03-14,11.74,11.62,11.75,11.48,114907600,1474124198.86,-1.53,-0.18,0.59,11.8
000001,2023-03-15 00:00:00,2023-03-15,11.8,11.8,11.93,11.69,97936400,1278262225.47,1.55,0.18,0.5,11.62
000001,2023-03-16 00:00:00,2023-03-16,11.64,11.57,11.78,11.55,91679200,1182054433.62,-1.95,-0.23,0.47,11.8
000001,2023-03-17 00:00:00,2023-03-17,11.74,11.5,11.79,11.4,155681400,2000832407.83,-0.61,-0.07,0.8,11.57
000001,2023-03-20 00:00:00,2023-03-20,11.51,11.32,11.6,11.3,118881600,1505893658.68,-1.57,-0.18,0.61,11.5
000001,2023-03-21 00:00:00,2023-03-21,11.4,11.45,11.53,11.25,84074300,1060914056.37,1.15,0.13,0.43,11.32
000001,2023-03-22 00:00:00,2023-03-22,11.5,11.54,11.63,11.46,87669100,1121080753.38,0.79,0.09,0.45,11.45
000001,2023-03-23 00:00:00,2023-03-23,11.45,11.65,11.65,11.38,80430600,1029380497.27,0.95,0.11,0.41,11.54
000001,2023-03-24 00:00:00,2023-03-24,11.6,11.57,11.61,11.51,62151900,796319541.97,-0.69,-0.08,0.32,11.65
000001,2023-03-27 00:00:00,2023-03-27,11.55,11.35,11.56,11.21,100842200,1266945056.03,-1.9,-0.22,0.52,11.57
000001,2023-03-28 00:00:00,2023-03-28,11.41,11.39,11.48,11.3,67386800,851797868.56,0.35,0.04,0.35,11.35
000001,2023-03-29 00:00:00,2023-03-29,11.48,11.28,11.49,11.25,59606400,750687550.55,-0.97,-0.11,0.31,11.39
000001,2023-03-30 00:00:00,2023-03-30,11.3,11.43,11.46,11.16,82454600,1035422932.01,1.33,0.15,0.42,11.28
000001,2023-03-31 00:00:00,2023-03-31,11.44,11.28,11.52,11.26,86549200,1092263436.9,-1.31,-0.15,0.45,11.43
000001,2023-04-03 00:00:00,2023-04-03,11.3,11.42,11.44,11.21,74042900,934285179.24,1.24,0.14,0.38,11.28
000001,2023-04-04 00:00:00,2023-04-04,11.39,11.4,11.47,11.34,64745700,817726526.95,-0.18,-0.02,0.33,11.42
000001,2023-04-06 00:00:00,2023-04-06,11.35,11.33,11.36,11.25,56332100,706480659.58,-0.61,-0.07,0.29,11.4
000001,2023-04-07 00:00:00,2023-04-07,11.32,11.37,11.44,11.25,60792500,767354796.52,0.35,0.04,0.31,11.33
000001,2023-04-10 00:00:00,2023-04-10,11.39,11.43,11.45,11.33,64018200,809943147.62,0.53,0.06,0.33,11.37
000001,2023-04-11 00:00:00,2023-04-11,11.45,11.29,11.47,11.27,77778000,978302907.79,-1.22,-0.14,0.4,11.43
000001,2023-04-12 00:00:00,2023-04-12,11.33,11.23,11.34,11.2,90995700,1136997696.14,-0.53,-0.06,0.47,11.29
000001,2023-04-13 00:00:00,2023-04-13,11.16,11.31,11.42,11.05,113159100,1413919037.13,0.71,0.08,0.58,11.23
000001,2023-04-14 00:00:00,2023-04-14,11.35,11.44,11.65,11.33,129799500,1653539530.91,1.15,0.13,0.67,11.31
000001,2023-04-17 00:00:00,2023-04-17,11.41,11.68,11.69,11.35,130421300,1669357649.18,2.1,0.24,0.67,11.44
000001,2023-04-18 00:00:00,2023-04-18,11.68,11.75,11.95,11.64,153893600,2009934874.59,0.6,0.07,0.79,11.68
000001,2023-04-19 00:00:00,2023-04-19,11.77,11.6,11.82,11.58,101437800,1309536001.8,-1.28,-0.15,0.52,11.75
000001,2023-04-20 00:00:00,2023-04-20,11.65,11.5,11.65,11.37,81178800,1033330703.78,-0.86,-0.1,0.42,11.6
000001,2023-04-21 00:00:00,2023-04-21,11.45,11.25,11.58,11.23,91866800,1160509766.03,-2.17,-0.25,0.47,11.5
000001,2023-04-24 00:00:00,2023-04-24,11.23,10.85,11.25,10.78,146767200,1798133966.92,-3.56,-0.4,0.76,11.25
000001,2023-04-25 00:00:00,2023-04-25,10.89,11.03,11.12,10.87,130190100,1595320169.74,1.66,0.18,0.67,10.85
000001,2023-04-26 00:00:00,2023-04-26,11.0,10.87,11.0,10.74,99126000,1197555724.16,-1.45,-0.16,0.51,11.03
000001,2023-04-27 00:00:00,2023-04-27,10.81,11.01,11.1,10.75,100409300,1222755932.37,1.29,0.14,0.52,10.87
000001,2023-04-28 00:00:00,2023-04-28,11.01,11.3,11.53,10.97,144525400,1816868032.98,2.63,0.29,0.74,11.01
000001,2023-05-04 00:00:00,2023-05-04,11.15,11.48,11.58,10.94,147826400,1863146144.16,1.59,0.18,0.76,11.3
000001,2023-05-05 00:00:00,2023-05-05,11.53,11.66,11.86,11.5,176218900,2283981032.07,1.57,0.18,0.91,11.48
000001,2023-05-08 00:00:00,2023-05-08,11.69,12.07,12.24,11.59,263071900,3478891629.35,3.52,0.41,1.36,11.66
000001,2023-05-09 00:00:00,2023-05-09,12.15,11.91,12.35,11.88,242253400,3238716470.97,-1.33,-0.16,1.25,12.07
000001,2023-05-10 00:00:00,2023-05-10,11.92,11.59,12.01,11.55,123705300,1600189994.17,-2.69,-0.32,0.64,11.91
000001,2023-05-11 00:00:00,2023-05-11,11.7,11.6,11.87,11.55,90375800,1166479364.89,0.09,0.01,0.47,11.59
000001,2023-05-12 00:00:00,2023-05-12,11.57,11.37,11.62,11.36,88560400,1124579090.54,-1.98,-0.23,0.46,11.6
000001,2023-05-15 00:00:00,2023-05-15,11.43,11.58,11.6,11.2,92832600,1173804243.15,1.85,0.21,0.48,11.37
000001,2023-05-16 00:00:00,2023-05-16,11.55,11.37,11.67,11.32,99830200,1267712090.05,-1.81,-0.21,0.51,11.58
000001,2023-05-17 00:00:00,2023-05-17,11.33,11.24,11.39,11.19,75462100,945315193.07,-1.14,-0.13,0.39,11.37
000001,2023-05-18 00:00:00,2023-05-18,11.32,11.24,11.39,11.18,68718700,861347534.32,0.0,0.0,0.35,11.24
000001,2023-05-19 00:00:00,2023-05-19,11.18,11.09,11.19,11.07,68841400,851165593.52,-1.33,-0.15,0.35,11.24
000001,2023-05-22 00:00:00,2023-05-22,11.06,11.13,11.2,11.06,54932800,679754868.04,0.36,0.04,0.28,11.09
000001,2023-05-23 00:00:00,2023-05-23,11.13,10.96,11.16,10.96,69436400,852871175.23,-1.53,-0.17,0.36,11.13
000001,2023-05-24 00:00:00,2023-05-24,10.95,10.76,10.96,10.76,82425100,996600577.63,-1.82,-0.2,0.42,10.96
000001,2023-05-25 00:00:00,2023-05-25,10.74,10.68,10.75,10.56,88274400,1050002541.88,-0.74,-0.08,0.45,10.76
000001,2023-05-26 00:00:00,2023-05-26,10.68,10.85,10.88,10.59,51142900,613772897.17,1.59,0.17,0.26,10.68
000001,2023-05-29 00:00:00,2023-05-29,10.86,10.73,10.88,10.7,56607400,680275577.83,-1.11,-0.12,0.29,10.85
000001,2023-05-30 00:00:00,2023-05-30,10.73,10.62,10.74,10.55,76399700,906316373.61,-1.03,-0.11,0.39,10.73
000001,2023-05-31 00:00:00,2023-05-31,10.57,10.35,10.59,10.33,117958700,1376758356.68,-2.54,-0.27,0.61,10.62
000001,2023-06-01 00:00:00,2023-06-01,10.35,10.34,10.43,10.25,74302300,861646489.19,-0.1,-0.01,0.38,10.35
000001,2023-06-02 00:00:00,2023-06-02,10.43,10.68,10.72,10.39,122184300,1446502669.25,3.29,0.34,0.63,10.34
000001,2023-06-05 00:00:00,2023-06-05,10.63,10.66,10.75,10.57,52184600,620531416.42,-0.19,-0.02,0.27,10.68
000001,2023-06-06 00:00:00,2023-06-06,10.66,10.59,10.84,10.57,83327300,997039311.52,-0.66,-0.07,0.43,10.66
000001,2023-06-07 00:00:00,2023-06-07,10.64,10.69,10.82,10.63,64369800,770386878.47,0.94,0.1,0.33,10.59
000001,2023-06-08 00:00:00,2023-06-08,10.71,10.87,10.95,10.61,86939700,1048266235.89,1.68,0.18,0.45,10.69
000001,2023-06-09 00:00:00,2023-06-09,10.81,10.63,10.84,10.6,131528500,1566929273.97,-2.21,-0.24,0.68,10.87
000001,2023-06-12 00:00:00,2023-06-12,10.57,10.54,10.65,10.51,75874700,896015708.76,-0.85,-0.09,0.39,10.63
000001,2023-06-13 00:00:00,2023-06-13,10.51,10.52,10.59,10.44,84998800,1000183566.92,-0.19,-0.02,0.44,10.54
000001,2023-06-14 00:00:00,2023-06-14,10.59,10.51,10.77,10.5,106920000,1237376775.64,-0.1,-0.01,0.55,10.52
000001,2023-06-15 00:00:00,2023-06-15,10.53,10.65,10.67,10.43,92530100,1064567231.22,1.33,0.14,0.48,10.51
000001,2023-06-16 00:00:00,2023-06-16,10.65,10.67,10.71,10.61,84203400,978869317.29,0.19,0.02,0.43,10.65
000001,2023-06-19 00:00:00,2023-06-19,10.67,10.49,10.67,10.45,95399700,1096351096.71,-1.69,-0.18,0.49,10.67
000001,2023-06-20 00:00:00,2023-06-20,10.48,10.4,10.5,10.39,54455100,620374307.69,-0.86,-0.09,0.28,10.49
000001,2023-06-21 00:00:00,2023-06-21,10.4,10.39,10.52,10.38,61658300,703681563.97,-0.1,-0.01,0.32,10.4
000001,2023-06-26 00:00:00,2023-06-26,10.34,10.22,10.34,10.19,67657700,757975991.51,-1.64,-0.17,0.35,10.39
000001,2023-06-27 00:00:00,2023-06-27,10.24,10.32,10.36,10.21,46170200,519520687.33,0.98,0.1,0.24,10.22
000001,2023-06-28 00:00:00,2023-06-28,10.32,10.34,10.37,10.26,36539600,412039353.93,0.19,0.02,0.19,10.32
000001,2023-06-29 00:00:00,2023-06-29,10.33,10.22,10.33,10.21,48590600,544534825.51,-1.16,-0.12,0.25,10.34
000001,2023-06-30 00:00:00,2023-06-30,10.22,10.27,10.35,10.19,51905300,583494654.79,0.49,0.05,0.27,10.22
000001,2023-07-03 00:00:00,2023-07-03,10.28,10.53,10.57,10.27,88509100,1009887428.65,2.53,0.26,0.46,10.27
000001,2023-07-04 00:00:00,2023-07-04,10.5,10.44,10.53,10.36,61630100,701885269.78,-0.85,-0.09,0.32,10.53
000001,2023-07-05 00:00:00,2023-07-05,10.4,10.38,10.44,10.34,42348200,479726282.47,-0.57,-0.06,0.22,10.44
000001,2023-07-06 00:00:00,2023-07-06,10.34,10.28,10.38,10.25,59709600,672396816.4,-0.96,-0.1,0.31,10.38
000001,2023-07-07 00:00:00,2023-07-07,10.24,10.24,10.31,10.22,48444100,543212455.87,-0.39,-0.04,0.25,10.28
000001,2023-07-10 00:00:00,2023-07-10,10.29,10.24,10.32,10.21,49588200,556581581.65,0.0,0.0,0.26,10.24
000001,2023-07-11 00:00:00,2023-07-11,10.26,10.25,10.3,10.23,57080900,640131787.1,0.1,0.01,0.29,10.24
000001,2023-07-12 00:00:00,2023-07-12,10.27,10.28,10.4,10.26,73608400,830230820.88,0.29,0.03,0.38,10.25
000001,2023-07-13 00:00:00,2023-07-13,10.36,10.47,10.51,10.31,112423000,1281848378.91,1.85,0.19,0.58,10.28
000001,2023-07-14 00:00:00,2023-07-14,10.47,10.5,10.59,10.44,71914700,825295738.24,0.29,0.03,0.37,10.47
000001,2023-07-17 00:00:00,2023-07-17,10.45,10.35,10.45,10.3,60834300,687262893.86,-1.43,-0.15,0.31,10.5
000001,2023-07-18 00:00:00,2023-07-18,10.33,10.29,10.36,10.26,47196600,531299772.68,-0.58,-0.06,0.24,10.35
000001,2023-07-19 00:00:00,2023-07-19,10.27,10.35,10.36,10.27,38219600,430771279.03,0.58,0.06,0.2,10.29
000001,2023-07-20 00:00:00,2023-07-20,10.37,10.36,10.48,10.33,55407000,629696111.29,0.1,0.01,0.29,10.35
000001,2023-07-21 00:00:00,2023-07-21,10.35,10.38,10.43,10.32,37710300,427375950.49,0.19,0.02,0.19,10.36
000001,2023-07-24 00:00:00,2023-07-24,10.37,10.3,10.37,10.28,42685200,480713395.7,-0.77,-0.08,0.22,10.38
000001,2023-07-25 00:00:00,2023-07-25,10.49,10.76,10.77,10.48,203295800,2358815159.63,4.47,0.46,1.05,10.3
000001,2023-07-26 00:00:00,2023-07-26,10.69,10.71,10.78,10.6,75166300,875260135.14,-0.46,-0.05,0.39,10.76
000001,2023-07-27 00:00:00,2023-07-27,10.72,10.79,10.91,10.69,111519600,1314228293.84,0.75,0.08,0.57,10.71
000001,2023-07-28 00:00:00,2023-07-28,10.73,11.3,11.34,10.71,234701300,2839828236.62,4.73,0.51,1.21,10.79
000001,2023-07-31 00:00:00,2023-07-31,11.34,11.36,11.54,11.27,185495200,2288940410.58,0.53,0.06,0.96,11.3
000001,2023-08-01 00:00:00,2023-08-01,11.3,11.2,11.41,11.17,95773500,1169570704.83,-1.41,-0.16,0.49,11.36
000001,2023-08-02 00:00:00,2023-08-02,11.1,11.07,11.28,10.97,111590000,1343864165.36,-1.16,-0.13,0.58,11.2
000001,2023-08-03 00:00:00,2023-08-03,11.03,11.37,11.41,10.99,117584800,1433255493.11,2.71,0.3,0.61,11.07
000001,2023-08-04 00:00:00,2023-08-04,11.46,11.34,11.57,11.25,130313100,1611435431.36,-0.26,-0.03,0.67,11.37
000001,2023-08-07 00:00:00,2023-08-07,11.25,11.2,11.29,11.16,64691300,786506452.16,-1.23,-0.14,0.33,11.34
000001,2023-08-08 00:00:00,2023-08-08,11.16,11.14,11.25,11.04,72570500,877489187.97,-0.54,-0.06,0.37,11.2
000001,2023-08-09 00:00:00,2023-08-09,11.1,11.21,11.24,11.09,57760800,702060796.64,0.63,0.07,0.3,11.14
000001,2023-08-10 00:00:00,2023-08-10,11.19,11.2,11.25,11.1,47559500,577123919.68,-0.09,-0.01,0.25,11.21
000001,2023-08-11 00:00:00,2023-08-11,11.21,10.93,11.31,10.93,94353900,1132867239.31,-2.41,-0.27,0.49,11.2
000001,2023-08-14 00:00:00,2023-08-14,10.8,10.71,10.82,10.63,97592000,1139185249.46,-2.01,-0.22,0.5,10.93
000001,2023-08-15 00:00:00,2023-08-15,10.73,10.77,10.84,10.64,71281300,834163039.6,0.56,0.06,0.37,10.71
000001,2023-08-16 00:00:00,2023-08-16,10.71,10.77,10.89,10.65,57290400,671706045.36,0.0,0.0,0.3,10.77
000001,2023-08-17 00:00:00,2023-08-17,10.71,10.61,10.74,10.5,96505800,1116292661.67,-1.49,-0.16,0.5,10.77
000001,2023-08-18 00:00:00,2023-08-18,10.62,10.6,10.78,10.57,65981900,767047286.89,-0.09,-0.01,0.34,10.61
000001,2023-08-21 00:00:00,2023-08-21,10.6,10.36,10.62,10.36,70149800,799641423.76,-2.26,-0.24,0.36,10.6
000001,2023-08-22 00:00:00,2023-08-22,10.42,10.41,10.49,10.35,60680800,689991238.06,0.48,0.05,0.31,10.36
